No;Symbol;Company Name;Market Cap;% Change;Volume;Revenue;Industry Name
204;FFIC;Flushing Financial Corporation;278.37M;-1.26%;214,825;229.77M;Banks - Regional
205;ALRS;Alerus Financial Corporation;276.52M;1.40%;28,787;208.17M;Banks - Regional
206;AMNB;American National Bankshares Inc.;276.38M;-1.74%;12,306;107.45M;Banks - Regional
207;CZNC;Citizens & Northern Corporation;273.31M;-2.00%;29,807;101.79M;Banks - Regional
208;GNTY;Guaranty Bancshares, Inc.;269.99M;-0.92%;20,567;127.18M;Banks - Regional
209;SMMF;Summit Financial Group, Inc.;263.68M;0.22%;24,026;145.11M;Banks - Regional
210;WTBA;West Bancorporation, Inc.;256.87M;-0.07%;43,929;99.13M;Banks - Regional
211;MCB;Metropolitan Bank Holding Corp.;256.66M;-0.51%;571,576;259.84M;Banks - Regional
212;CSTR;CapStar Financial Holdings, Inc.;256.13M;-0.08%;49,478;118.14M;Banks - Regional
213;PFIS;Peoples Financial Services Corp.;253.64M;-2.74%;6,886;107.75M;Banks - Regional
214;FNLC;The First Bancorp, Inc.;249.83M;-1.14%;12,054;89.38M;Banks - Regional
215;FMAO;Farmers & Merchants Bancorp, Inc.;249.57M;-4.04%;32,722;99.16M;Banks - Regional
216;HBCP;Home Bancorp, Inc.;247.53M;-0.70%;9,866;134.82M;Banks - Regional
217;FISI;Financial Institutions, Inc.;244.47M;-;58,381;200.30M;Banks - Regional
218;JMSB;John Marshall Bancorp, Inc.;242.82M;-0.58%;9,661;71.94M;Banks - Regional
219;BLFY;Blue Foundry Bancorp;239.62M;-1.35%;116,005;55.51M;Banks - Regional
220;CIVB;Civista Bancshares, Inc.;239.60M;0.26%;52,38;150.30M;Banks - Regional
221;SBT;Sterling Bancorp, Inc. (Southfield, MI);239.31M;0.43%;10,614;90.08M;Banks - Regional
222;ACNB;ACNB Corporation;239.08M;-0.46%;5,35;111.42M;Banks - Regional
223;BMRC;Bank of Marin Bancorp;232.57M;0.42%;91,466;137.87M;Banks - Regional
224;BSRR;Sierra Bancorp;231.55M;-1.91%;28,683;133.86M;Banks - Regional
225;FFWM;First Foundation Inc.;229.08M;-4.47%;1,101,626;345.72M;Banks - Regional
226;BWB;Bridgewater Bancshares, Inc.;227.39M;-1.81%;81,379;128.15M;Banks - Regional
227;FLIC;The First of Long Island Corporation;225.10M;0.20%;113,265;118.51M;Banks - Regional
228;FDBC;Fidelity D & D Bancorp, Inc.;223.55M;-1.60%;2,399;86.82M;Banks - Regional
229;CBNK;Capital Bancorp, Inc.;220.96M;-2.49%;12,673;163.35M;Banks - Regional
230;FSBW;FS Bancorp, Inc.;218.90M;-1.84%;9,185;116.17M;Banks - Regional
231;UNTY;Unity Bancorp, Inc.;218.09M;-1.44%;12,072;96.89M;Banks - Regional
232;MVBF;MVB Financial Corp.;216.87M;-4.09%;21,865;135.90M;Banks - Regional
233;SHBI;Shore Bancshares, Inc.;214.89M;-0.75%;83,027;122.46M;Banks - Regional
234;TCBX;Third Coast Bancshares, Inc.;213.20M;3.90%;110,813;111.48M;Banks - Regional
235;PBFS;Pioneer Bancorp, Inc.;211.72M;-0.79%;7,583;69.22M;Banks - Regional
236;NWFL;Norwood Financial Corp.;210.66M;0.47%;16,326;77.43M;Banks - Regional
237;BSVN;Bank7 Corp.;210.22M;-0.09%;10,971;67.90M;Banks - Regional
238;FBIZ;First Business Financial Services, Inc.;209.32M;-1.25%;8,362;135.61M;Banks - Regional
239;NRIM;Northrim BanCorp, Inc.;197.41M;-1.42%;15,975;126.65M;Banks - Regional
240;NECB;Northeast Community Bancorp, Inc.;196.43M;-0.54%;40,419;65.12M;Banks - Regional
241;PCB;PCB Bancorp;191.85M;-0.24%;21,297;102.27M;Banks - Regional
242;OVLY;Oak Valley Bancorp;190.89M;-1.87%;29,057;67.00M;Banks - Regional
243;PLBC;Plumas Bancorp;189.40M;-2.31%;3,637;72.44M;Banks - Regional
244;BCML;BayCom Corp;189.14M;0.10%;18,462;102.95M;Banks - Regional
245;MBCN;Middlefield Banc Corp.;188.65M;-1.80%;18,123;56.92M;Banks - Regional
246;TSBK;Timberland Bancorp, Inc.;187.11M;0.74%;17,465;75.31M;Banks - Regional
247;PKBK;Parke Bancorp, Inc.;184.93M;-0.71%;14,173;82.06M;Banks - Regional
248;FRBA;First Bank;183.76M;0.64%;50,061;-;Banks - Regional
249;RBB;RBB Bancorp;181.38M;-0.52%;35,06;153.25M;Banks - Regional
250;SFST;Southern First Bancshares, Inc.;179.95M;-1.06%;42,987;96.70M;Banks - Regional
251;OBT;Orange County Bancorp, Inc.;178.82M;-1.28%;4,308;80.57M;Banks - Regional
252;SSBK;Southern States Bancshares, Inc.;177.88M;-0.54%;40,44;74.41M;Banks - Regional
253;USCB;USCB Financial Holdings, Inc.;177.58M;-1.42%;11,917;66.39M;Banks - Regional
254;FRST;Primis Financial Corp.;175.76M;-2.35%;68,013;124.45M;Banks - Regional
255;BCBP;BCB Bancorp, Inc.;172.82M;-1.91%;81,159;116.75M;Banks - Regional
256;VBNK;VersaBank;172.81M;-3.18%;812;67.53M;Banks - Regional
257;BWFG;Bankwell Financial Group, Inc.;171.54M;2.00%;80,065;98.35M;Banks - Regional
258;LCNB;LCNB Corp.;168.59M;0.53%;9,405;75.08M;Banks - Regional
259;ORRF;Orrstown Financial Services, Inc.;167.44M;-2.00%;14,348;124.32M;Banks - Regional
260;CFFI;C&F Financial Corporation;166.23M;-0.16%;2,075;121.59M;Banks - Regional
261;PDLB;Ponce Financial Group, Inc.;164.49M;-4.62%;94,795;48.98M;Banks - Regional
262;NKSH;National Bankshares, Inc.;164.26M;-0.89%;7,423;58.72M;Banks - Regional
263;CHMG;Chemung Financial Corporation;162.59M;-1.54%;4,578;96.17M;Banks - Regional
264;PWOD;Penns Woods Bancorp, Inc.;161.81M;-0.22%;7,196;64.58M;Banks - Regional
265;ATLO;Ames National Corporation;160.87M;-0.06%;29,921;61.62M;Banks - Regional
266;COFS;ChoiceOne Financial Services, Inc.;159.84M;-0.19%;2,591;81.63M;Banks - Regional
267;CVLY;Codorus Valley Bancorp, Inc.;155.81M;-;7,567;92.48M;Banks - Regional
268;VABK;Virginia National Bankshares Corporation;154.66M;-1.68%;15,76;67.10M;Banks - Regional
269;CBAN;Colony Bankcorp, Inc.;153.77M;-2.56%;41,669;111.36M;Banks - Regional
270;CVCY;Central Valley Community Bancorp;153.75M;-2.82%;32,703;83.62M;Banks - Regional
271;BPRN;The Bank of Princeton;153.42M;-0.24%;19,359;74.08M;Banks - Regional
272;MNSB;MainStreet Bancshares, Inc.;150.49M;-0.50%;7,233;72.45M;Banks - Regional
273;FVCB;FVCBankcorp, Inc.;150.32M;-3.08%;54,241;65.45M;Banks - Regional
274;BRBS;Blue Ridge Bankshares, Inc.;149.63M;-2.93%;28,314;126.28M;Banks - Regional
275;MYFW;First Western Financial, Inc.;144.42M;-2.19%;7,525;106.95M;Banks - Regional
276;TCFC;The Community Financial Corporation;142.41M;-2.59%;3,341;79.70M;Banks - Regional
277;PVBC;Provident Bancorp, Inc.;141.55M;5.12%;192,055;24.75M;Banks - Regional
278;ESSA;ESSA Bancorp, Inc.;140.43M;-1.10%;4,042;69.82M;Banks - Regional
279;SAL;Salisbury Bancorp, Inc.;137.93M;2.76%;1,091;53.82M;Banks - Regional
280;LNKB;LINKBANCORP, Inc.;132.81M;-0.56%;11,297;34.65M;Banks - Regional
281;EVBN;Evans Bancorp, Inc.;132.36M;-1.38%;8,419;90.87M;Banks - Regional
282;HNVR;Hanover Bancorp, Inc.;131.96M;-;44;64.11M;Banks - Regional
283;FGBI;First Guaranty Bancshares, Inc.;131.28M;-4.37%;12,15;105.77M;Banks - Regional
284;WNEB;Western New England Bancorp, Inc.;129.92M;-1.52%;36,842;92.26M;Banks - Regional
285;FCCO;First Community Corporation;126.41M;-0.54%;62,097;59.66M;Banks - Regional
286;HWBK;Hawthorn Bancshares, Inc.;123.53M;-1.56%;24,097;73.64M;Banks - Regional
287;OPBK;OP Bancorp;121.07M;-1.49%;18,87;91.55M;Banks - Regional
288;HMST;HomeStreet, Inc.;118.05M;2.28%;405,828;290.08M;Banks - Regional
289;WMPN;William Penn Bancorporation;117.37M;-2.76%;32,01;25.77M;Banks - Regional
290;OVBC;Ohio Valley Banc Corp.;116.25M;-0.64%;2,114;54.97M;Banks - Regional
291;ISTR;Investar Holding Corporation;114.55M;-1.79%;16,672;97.94M;Banks - Regional
292;FNCB;FNCB Bancorp, Inc.;114.36M;-3.33%;14,168;58.53M;Banks - Regional
293;CALB;California BanCorp;113.63M;-0.07%;9,796;74.57M;Banks - Regional
294;BSBK;Bogota Financial Corp.;111.84M;0.49%;2,587;23.78M;Banks - Regional
295;RMBI;Richmond Mutual Bancorporation, Inc.;111.36M;3.59%;107,647;45.91M;Banks - Regional
296;MLVF;Malvern Bancorp, Inc.;110.88M;1.11%;878;32.00M;Banks - Regional
297;FNWD;Finward Bancorp;110.83M;-5.26%;6,83;78.66M;Banks - Regional
298;PEBK;Peoples Bancorp of North Carolina, Inc.;110.49M;-2.44%;9,371;76.41M;Banks - Regional
299;OFED;Oconee Federal Financial Corp.;110.17M;2.61%;814;17.52M;Banks - Regional
300;FRAF;Franklin Financial Services Corporation;109.81M;-0.24%;3,6;66.19M;Banks - Regional
301;PTRS;Partners Bancorp;105.22M;-1.35%;744;59.85M;Banks - Regional
302;CFBK;CF Bankshares Inc.;104.80M;-;245;51.21M;Banks - Regional
303;SSBI;Summit State Bank;103.69M;3.93%;36,015;49.63M;Banks - Regional
304;LARK;Landmark Bancorp, Inc.;102.39M;-0.66%;1,834;52.58M;Banks - Regional
305;UBFO;United Security Bancshares;101.54M;-0.83%;1,81;46.10M;Banks - Regional
306;MRBK;Meridian Corporation;101.44M;-1.65%;48,208;109.36M;Banks - Regional
307;FINW;FinWise Bancorp;100.42M;0.64%;5,45;74.79M;Banks - Regional
308;FNWB;First Northwest Bancorp;99.30M;-2.52%;5,441;78.66M;Banks - Regional
309;CBFV;CB Financial Services, Inc.;99.27M;-0.97%;1,985;48.97M;Banks - Regional
310;ECBK;ECB Bancorp, Inc.;97.80M;-3.45%;10,17;22.10M;Banks - Regional
311;RVSB;Riverview Bancorp, Inc.;96.86M;-2.24%;16,559;64.54M;Banks - Regional
312;CWBC;Community West Bancshares;96.53M;2.35%;5,41;49.98M;Banks - Regional
313;TBNK;Territorial Bancorp Inc.;94.93M;2.43%;47,624;60.27M;Banks - Regional
314;EBMT;Eagle Bancorp Montana, Inc.;94.55M;1.84%;4,533;87.53M;Banks - Regional
315;UNB;Union Bankshares, Inc.;93.32M;-0.67%;4,007;48.41M;Banks - Regional
316;SFBC;Sound Financial Bancorp, Inc.;92.61M;0.28%;926;38.65M;Banks - Regional
317;BFIN;BankFinancial Corporation;91.78M;-0.16%;14,147;56.79M;Banks - Regional
318;FXNC;First National Corporation;91.34M;-0.34%;8,384;56.35M;Banks - Regional
319;PROV;Provident Financial Holdings, Inc.;89.75M;0.79%;3,652;40.34M;Banks - Regional
320;FFNW;First Financial Northwest, Inc.;89.74M;-1.31%;5,376;52.00M;Banks - Regional
321;INBK;First Internet Bancorp;87.29M;-7.40%;338,436;113.37M;Banks - Regional
322;FUNC;First United Corporation;86.75M;0.15%;10,443;76.33M;Banks - Regional
323;FSFG;First Savings Financial Group, Inc.;85.45M;1.85%;2,665;100.47M;Banks - Regional
324;SBFG;SB Financial Group, Inc.;83.06M;-0.26%;5,341;57.63M;Banks - Regional
325;CZWI;Citizens Community Bancorp, Inc.;82.30M;-1.75%;6,311;64.48M;Banks - Regional
326;HMNF;HMN Financial, Inc.;82.16M;-;95;40.71M;Banks - Regional
327;FCAP;First Capital, Inc.;80.46M;1.53%;4,575;39.32M;Banks - Regional
328;AFBI;Affinity Bancshares, Inc.;80.37M;-2.41%;8,777;31.45M;Banks - Regional
329;OPOF;Old Point Financial Corporation;79.73M;-6.81%;5,71;56.24M;Banks - Regional
330;PBHC;Pathfinder Bancorp, Inc.;77.89M;-2.91%;7,177;44.56M;Banks - Regional
331;CULL;Cullman Bancorp, Inc.;77.60M;0.95%;2,381;16.41M;Banks - Regional
332;BKSC;Bank of South Carolina Corporation;76.18M;-2.76%;3,591;21.04M;Banks - Regional
333;RBKB;Rhinebeck Bancorp, Inc.;74.98M;-2.55%;862;46.32M;Banks - Regional
334;AUBN;Auburn National Bancorporation, Inc.;74.55M;1.95%;361;33.27M;Banks - Regional
335;CIZN;Citizens Holding Company;71.49M;0.39%;917;45.67M;Banks - Regional
336;BYFC;Broadway Financial Corporation;69.45M;-1.56%;14,932;33.06M;Banks - Regional
337;UBCP;United Bancorp, Inc.;68.13M;-6.50%;4,34;29.43M;Banks - Regional
338;TCBC;TC Bancshares, Inc.;67.85M;-1.23%;4,238;15.90M;Banks - Regional
339;VBFC;Village Bank and Trust Financial Corp.;66.86M;-9.09%;787;32.61M;Banks - Regional
340;MGYR;Magyar Bancorp, Inc.;66.49M;-0.40%;6,236;29.61M;Banks - Regional
341;HVBC;HV Bancorp, Inc.;64.50M;-2.27%;11,501;25.18M;Banks - Regional
342;LSBK;Lake Shore Bancorp, Inc.;64.28M;-2.76%;840;26.32M;Banks - Regional
343;BAFN;BayFirst Financial Corp.;58.82M;-;125;62.25M;Banks - Regional
344;FRBK;Republic First Bancorp, Inc.;54.16M;12.18%;988,817;164.59M;Banks - Regional
345;HFBL;Home Federal Bancorp, Inc. of Louisiana;49.98M;-;534;21.24M;Banks - Regional
346;ASRV;AmeriServ Financial, Inc.;49.56M;0.35%;11,806;57.21M;Banks - Regional
347;IROQ;IF Bancorp, Inc.;49.38M;-;14;27.20M;Banks - Regional
348;KFFB;Kentucky First Federal Bancorp;49.25M;-0.17%;7,305;9.50M;Banks - Regional
349;CLST;Catalyst Bancorp, Inc.;48.36M;2.47%;5,44;8.88M;Banks - Regional
350;NSTS;NSTS Bancorp, Inc.;44.84M;-1.46%;3,435;7.05M;Banks - Regional
351;CFSB;CFSB Bancorp, Inc.;44.00M;-0.98%;818;9.54M;Banks - Regional
352;FUSB;First US Bancshares, Inc.;41.54M;0.43%;335;37.08M;Banks - Regional
353;BOTJ;Bank of the James Financial Group, Inc.;41.50M;-1.27%;9,81;43.85M;Banks - Regional
354;FSEA;First Seacoast Bancorp;41.11M;-;7,258;15.75M;Banks - Regional
355;BCOW;1895 Bancorp of Wisconsin, Inc.;39.94M;-5.36%;5,888;15.96M;Banks - Regional
356;SI;Silvergate Capital Corporation;39.57M;-;1,140,942;281.38M;Banks - Regional
357;TCBS;Texas Community Bancshares, Inc.;36.15M;2.14%;4,337;11.94M;Banks - Regional
358;PBBK;PB Bankshares, Inc.;32.98M;-0.02%;3,468;11.08M;Banks - Regional
359;PNBK;Patriot National Bancorp, Inc.;30.15M;-1.88%;1,324;34.98M;Banks - Regional
360;MSVB;Mid-Southern Bancorp, Inc.;26.25M;-5.80%;9,064;8.81M;Banks - Regional
361;OPHC;OptimumBank Holdings, Inc.;23.60M;0.49%;597;16.81M;Banks - Regional
362;GLBZ;Glen Burnie Bancorp;23.14M;-3.95%;7,177;13.33M;Banks - Regional
363;GBNY;Generations Bancorp NY, Inc.;19.55M;-7.73%;471;12.43M;Banks - Regional
364;SHFS;SHF Holdings, Inc.;19.22M;-5.54%;23,859,304;-32.70M;Banks - Regional
365;CARV;Carver Bancorp, Inc.;17.03M;-1.71%;18,698;25.93M;Banks - Regional
1;BX;Blackstone Inc.;100.07B;0.85%;3,072,146;4.77B;Asset Management
2;BLK;BlackRock, Inc.;96.15B;2.04%;725,004;17.42B;Asset Management
3;KKR;KKR & Co. Inc.;54.37B;-1.16%;2,630,448;7.84B;Asset Management
4;BN;Brookfield Corporation;48.86B;0.16%;2,075,151;92.77B;Asset Management
5;APO;Apollo Global Management, Inc.;36.36B;0.13%;2,212,083;15.39B;Asset Management
6;BK;The Bank of New York Mellon Corporation;32.10B;-0.83%;4,660,392;16.81B;Asset Management
7;AMP;Ameriprise Financial, Inc.;30.59B;-0.10%;332,447;14.36B;Asset Management
8;ARES;Ares Management Corporation;24.64B;-0.16%;773,7;3.15B;Asset Management
9;TROW;T. Rowe Price Group, Inc.;23.81B;0.19%;1,054,289;6.16B;Asset Management
10;STT;State Street Corporation;22.64B;-1.12%;2,344,754;12.17B;Asset Management
11;NTRS;Northern Trust Corporation;14.69B;-1.25%;1,619,207;6.76B;Asset Management
12;OWL;Blue Owl Capital Inc.;14.38B;0.89%;2,393,769;1.48B;Asset Management
13;BAM;Brookfield Asset Management Inc.;12.84B;0.31%;1,051,788;3.63B;Asset Management
14;BEN;Franklin Resources, Inc.;12.28B;-1.92%;3,757,901;7.86B;Asset Management
15;CRBG;Corebridge Financial, Inc.;10.85B;0.90%;994,595;22.84B;Asset Management
16;ARCC;Ares Capital Corporation;9.93B;-0.44%;1,710,355;2.27B;Asset Management
17;CG;The Carlyle Group Inc.;9.56B;1.60%;3,487,914;3.72B;Asset Management
18;TPG;TPG Inc.;8.38B;-0.73%;260,869;2.00B;Asset Management
19;SEIC;SEI Investments Company;7.78B;0.29%;442,211;1.88B;Asset Management
20;IVZ;Invesco Ltd.;7.06B;-3.33%;8,258,764;5.84B;Asset Management
21;FSK;FS KKR Capital Corp.;5.30B;-1.10%;632,759;1.70B;Asset Management
22;AMG;Affiliated Managers Group, Inc.;5.07B;-0.24%;225,494;2.24B;Asset Management
23;JHG;Janus Henderson Group plc;4.44B;-0.67%;1,035,303;2.08B;Asset Management
24;FOCS;Focus Financial Partners Inc.;4.08B;-;751,802;2.16B;Asset Management
25;AB;AllianceBernstein Holding L.P.;3.94B;-0.23%;194,374;287.53M;Asset Management
26;AMTD;AMTD IDEA Group;3.58B;0.62%;48,895;177.14M;Asset Management
27;HLNE;Hamilton Lane Incorporated;3.48B;-2.71%;142,659;516.87M;Asset Management
28;FHI;Federated Hermes, Inc.;3.36B;-1.50%;760,499;1.50B;Asset Management
29;MAIN;Main Street Capital Corporation;3.18B;-0.72%;273,126;417.72M;Asset Management
30;BUR;Burford Capital Limited;2.94B;-1.10%;294,168;175.37M;Asset Management
31;CNS;Cohen & Steers, Inc.;2.69B;-1.10%;112,588;538.80M;Asset Management
32;APAM;Artisan Partners Asset Management Inc.;2.60B;-0.52%;376,935;946.20M;Asset Management
33;PSEC;Prospect Capital Corporation;2.49B;-0.64%;1,453,067;815.33M;Asset Management
34;GBDC;Golub Capital BDC, Inc.;2.23B;-0.38%;483,87;499.10M;Asset Management
35;STEP;StepStone Group Inc.;2.20B;-0.51%;146,492;124.74M;Asset Management
36;PAX;Patria Investments Limited;2.16B;-;314,547;258.88M;Asset Management
37;AMK;AssetMark Financial Holdings, Inc.;2.05B;0.51%;89,468;646.57M;Asset Management
38;VCTR;Victory Capital Holdings, Inc.;2.03B;0.43%;257,776;826.10M;Asset Management
39;HTGC;Hercules Capital, Inc.;1.93B;-0.07%;1,077,544;361.62M;Asset Management
40;CLM;Cornerstone Strategic Value Fund, Inc.;1.73B;-0.50%;1,312,514;-;Asset Management
41;TSLX;Sixth Street Specialty Lending, Inc.;1.44B;-4.18%;3,840,055;338.38M;Asset Management
42;GSBD;Goldman Sachs BDC, Inc.;1.44B;0.61%;294,089;386.55M;Asset Management
43;BRDG;Bridge Investment Group Holdings Inc.;1.43B;3.65%;144,753;404.29M;Asset Management
44;BBUC;Brookfield Business Corporation;1.36B;-2.10%;47,14;11.27B;Asset Management
45;GCMG;Grosvenor Capital Management, L.P.;1.34B;-3.51%;251,719;440.52M;Asset Management
46;VRTS;Virtus Investment Partners, Inc.;1.25B;0.63%;44,632;831.81M;Asset Management
47;NMFC;New Mountain Finance Corporation;1.20B;0.25%;284,273;317.62M;Asset Management
48;NOAH;Noah Holdings Limited;1.20B;1.60%;47,796;444.82M;Asset Management
49;PX;P10, Inc.;1.17B;-;154,201;198.36M;Asset Management
50;WT;WisdomTree, Inc.;1.05B;6.70%;5,473,281;305.02M;Asset Management
51;AVTA;Avantax, Inc.;1.00B;-0.29%;1,590,387;536.92M;Asset Management
52;CET;Central Securities Corp.;960.05M;0.14%;17,41;31.14M;Asset Management
53;BSIG;BrightSphere Investment Group Inc.;898.53M;-1.59%;71,643;396.80M;Asset Management
54;SII;Sprott Inc.;890.20M;-3.21%;22,602;143.33M;Asset Management
55;BCSF;Bain Capital Specialty Finance, Inc.;787.01M;1.84%;217,663;248.27M;Asset Management
56;SLRC;SLR Investment Corp.;753.94M;-1.99%;272,649;198.05M;Asset Management
57;MFIC;MidCap Financial Investment Corporation;742.22M;-;159,174;226.19M;Asset Management
58;CGBD;Carlyle Secured Lending, Inc.;683.19M;-0.81%;176,429;218.12M;Asset Management
59;ECC;Eagle Point Credit Company Inc.;655.05M;-1.57%;285,993;21.89M;Asset Management
60;CSWC;Capital Southwest Corporation;616.19M;-1.00%;141,809;103.14M;Asset Management
61;TCPC;BlackRock TCP Capital Corp.;608.29M;-;237,454;189.16M;Asset Management
62;ALTI;AlTi Global, Inc.;556.10M;-0.41%;36,745;-;Asset Management
63;PFLT;PennantPark Floating Rate Capital Ltd.;547.00M;2.61%;301,572;110.49M;Asset Management
64;CION;CION Investment Corporation;518.26M;-1.87%;219,812;218.19M;Asset Management
65;CCAP;Crescent Capital BDC, Inc.;503.67M;-0.73%;70,068;129.62M;Asset Management
66;DHIL;Diamond Hill Investment Group, Inc.;482.97M;-1.55%;12,41;146.23M;Asset Management
67;FDUS;Fidus Investment Corporation;465.78M;-0.27%;57,243;102.68M;Asset Management
68;VINP;Vinci Partners Investments Ltd.;441.42M;-1.83%;30,799;77.14M;Asset Management
69;GAIN;Gladstone Investment Corporation;430.57M;-4.31%;171,062;81.54M;Asset Management
70;TRIN;Trinity Capital Inc.;416.89M;-0.94%;183,763;155.19M;Asset Management
71;TPVG;TriplePoint Venture Growth BDC Corp.;365.30M;-0.96%;315,05;125.70M;Asset Management
72;GLAD;Gladstone Capital Corporation;350.49M;-0.74%;66,21;69.58M;Asset Management
73;PNNT;PennantPark Investment Corporation;341.78M;5.86%;1,233,268;106.58M;Asset Management
74;HRZN;Horizon Technology Finance Corporation;338.72M;1.63%;170,195;93.02M;Asset Management
75;PUYI;Puyi Inc.;332.33M;-;17;22.34M;Asset Management
76;TYG;Tortoise Energy Infrastructure Corporation;323.17M;-1.52%;29,201;27.93M;Asset Management
77;ASA;ASA Gold and Precious Metals Limited;322.33M;-3.30%;48,886;3.64M;Asset Management
78;SCM;Stellus Capital Investment Corporation;305.66M;-0.34%;91,18;83.69M;Asset Management
79;SAR;Saratoga Investment Corp.;297.36M;0.12%;39,611;99.10M;Asset Management
80;NEWT;Newtek Business Services Corp.;284.99M;-4.86%;204,446;111.95M;Asset Management
81;WHF;WhiteHorse Finance, Inc.;274.27M;0.17%;38,864;93.66M;Asset Management
82;BKCC;BlackRock Capital Investment Corporation;229.33M;-0.32%;164,3;64.52M;Asset Management
83;SWKH;SWK Holdings Corporation;220.56M;0.17%;5,888;41.48M;Asset Management
84;SCU;Sculptor Capital Management, Inc.;206.54M;-3.26%;74,769;434.89M;Asset Management
85;PTMN;Portman Ridge Finance Corporation;188.90M;1.69%;15,828;73.00M;Asset Management
86;SAMG;Silvercrest Asset Management Group Inc.;183.17M;-1.86%;22,342;119.14M;Asset Management
87;HYW;Hywin Holdings Ltd.;174.44M;-0.32%;13,399;289.87M;Asset Management
88;MRCC;Monroe Capital Corporation;164.88M;2.01%;58,257;60.88M;Asset Management
89;OXSQ;Oxford Square Capital Corp.;153.70M;-1.28%;393,029;46.19M;Asset Management
90;AAMC;Altisource Asset Management Corporation;147.44M;-1.58%;13,784;4.97M;Asset Management
91;OFS;OFS Capital Corporation;125.94M;-2.49%;27,884;52.08M;Asset Management
92;BANX;ArrowMark Financial Corp.;108.46M;-1.88%;5,591;5.65M;Asset Management
93;SSSS;SuRo Capital Corp.;101.17M;2.59%;42,715;4.17M;Asset Management
94;OCCI;OFS Credit Company, Inc.;87.48M;0.57%;16,819;-;Asset Management
95;PFX;PhenixFIN Corporation;73.86M;-;245;17.11M;Asset Management
96;MGLD;The Marygold Companies, Inc.;61.44M;-;10,88;36.35M;Asset Management
97;GECC;Great Elm Capital Corp.;60.74M;-1.11%;9,252;27.28M;Asset Management
98;LRFC;Logan Ridge Finance Corporation;56.03M;3.50%;5,472;16.85M;Asset Management
99;HNNA;Hennessy Advisors, Inc.;52.87M;-0.71%;21,522;25.45M;Asset Management
100;TURN;180 Degree Capital Corp.;48.35M;0.22%;9,773;1.68M;Asset Management
101;GROW;U.S. Global Investors, Inc.;47.87M;-0.70%;17,174;22.61M;Asset Management
102;ICMB;Investcorp Credit Management BDC, Inc.;46.91M;1.74%;26,629;24.82M;Asset Management
103;AINC;Ashford Inc.;34.94M;0.14%;802;644.43M;Asset Management
104;RAND;Rand Capital Corporation;34.64M;-;19;6.49M;Asset Management
105;SFE;Safeguard Scientifics, Inc.;32.20M;-0.50%;524;-;Asset Management
106;EQS;Equus Total Return, Inc.;21.49M;0.63%;100;6.00K;Asset Management
107;SVVC;Firsthand Technology Value Fund, Inc.;6.07M;0.80%;701;-10.01M;Asset Management
1;V;Visa Inc.;483.83B;0.08%;3,800,599;30.98B;Credit Services
2;MA;Mastercard Incorporated;360.46B;0.22%;1,900,998;22.82B;Credit Services
3;AXP;American Express Company;109.99B;-0.46%;2,513,121;52.14B;Credit Services
4;PYPL;PayPal Holdings, Inc.;74.88B;1.26%;27,903,259;28.08B;Credit Services
5;COF;Capital One Financial Corporation;33.38B;0.44%;2,905,709;27.02B;Credit Services
6;DFS;Discover Financial Services;24.34B;0.50%;1,319,428;10.88B;Credit Services
7;IX;ORIX Corporation;19.89B;-2.55%;21,456;20.14B;Credit Services
8;SYF;Synchrony Financial;11.75B;1.07%;7,949,747;7.94B;Credit Services
9;ALLY;Ally Financial Inc.;7.61B;-0.08%;3,154,214;8.39B;Credit Services
10;CACC;Credit Acceptance Corporation;5.51B;-0.47%;28,826;1.83B;Credit Services
11;ORCC;Owl Rock Capital Corporation;5.00B;1.67%;2,021,129;1.32B;Credit Services
12;SOFI;SoFi Technologies, Inc.;4.83B;-6.20%;36,075,606;1.72B;Credit Services
13;FCFS;FirstCash Holdings, Inc;4.61B;-1.85%;211,857;2.83B;Credit Services
14;WU;The Western Union Company;4.48B;-0.42%;4,978,015;4.36B;Credit Services
15;OMF;OneMain Holdings, Inc.;4.28B;-1.09%;608,288;2.62B;Credit Services
16;LU;Lufax Holding Ltd;3.76B;3.80%;9,058,158;8.34B;Credit Services
17;SLM;SLM Corporation;3.65B;0.87%;1,946,977;1.20B;Credit Services
18;NNI;Nelnet, Inc.;3.49B;-0.31%;38,593;1.33B;Credit Services
19;QFIN;360 DigiTech, Inc.;2.83B;4.71%;1,012,300;2.38B;Credit Services
20;NAVI;Navient Corporation;1.87B;1.44%;1,024,547;1.45B;Credit Services
21;OCSL;Oaktree Specialty Lending Corporation;1.42B;-1.13%;270,842;308.76M;Credit Services
22;UPST;Upstart Holdings, Inc.;1.39B;-11.60%;10,169,193;635.24M;Credit Services
23;AGM.A;Federal Agricultural Mortgage Corporation;1.37B;-;3;310.40M;Credit Services
24;AGM;Federal Agricultural Mortgage Corporation;1.36B;4.18%;64,075;310.40M;Credit Services
25;ENVA;Enova International, Inc.;1.33B;0.02%;125,656;1.13B;Credit Services
26;BFH;Bread Financial Holdings, Inc.;1.32B;2.09%;526,468;2.69B;Credit Services
27;LPRO;Open Lending Corporation;1.16B;1.80%;1,517,770;167.89M;Credit Services
28;FINV;FinVolution Group;1.15B;1.74%;766,841;1.60B;Credit Services
29;MGI;MoneyGram International, Inc.;1.07B;-;996,724;1.34B;Credit Services
30;GDOT;Green Dot Corporation;867.78M;-3.19%;227,998;1.47B;Credit Services
